Reference_ID,Received_At,University,Caller_Name,Outcome_1,Remark,Campaign_ID,Escalation_Required
12345,2023-04-28 12:15:19,Illinois Institute of Technology,Shailja,Connected,No Remark,IANF23,No
12345,2023-04-28 13:04:05,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
12345,2023-05-01 11:14:11,Illinois Institute of Technology,Shailja,Connected,No Remark,IANF23,No
347397,2023-05-01 11:16:09,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
347397,2023-05-01 11:18:02,Illinois Institute of Technology,Isha,Connected,No Remark,IANF23,No
358065,2023-05-01 11:19:05,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
351333,2023-05-01 11:21:43,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
346435,2023-05-01 11:26:12,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
355959,2023-05-01 11:29:06,Illinois Institute of Technology,Isha,Completed application,No Remark,IANF23,No
351520,2023-05-01 11:30:00,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
372165,2023-05-01 11:32:05,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
369273,2023-05-01 11:32:07,Illinois Institute of Technology,Shailja,Completed application,No Remark,IANF23,No
365995,2023-05-01 11:33:26,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
348627,2023-05-01 11:35:28,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
350814,2023-05-01 11:36:18,Illinois Institute of Technology,Isha,Will Submit the docx,by next week,IANF23,No
357845,2023-05-01 11:37:03,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
336070,2023-05-01 11:38:04,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
345428,2023-05-01 11:41:44,Illinois Institute of Technology,Shailja,Will Submit the docx,stu requires scholarship doc in form of pdf nd will submit fin docx in 2 days,IANF23,Yes
352791,2023-05-01 11:45:14,Illinois Institute of Technology,Isha,Will Submit the docx,within 10 days,IANF23,No
363532,2023-05-01 11:53:07,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
367273,2023-05-01 11:55:34,Illinois Institute of Technology,Isha,Completed application,No Remark,IANF23,No
346775,2023-05-01 12:01:25,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
355929,2023-05-01 12:10:14,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
362117,2023-05-01 12:10:51,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
355914,2023-05-01 12:11:59,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
348654,2023-05-01 12:15:12,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
367749,2023-05-01 12:19:08,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
348868,2023-05-01 12:21:00,Illinois Institute of Technology,Shailja,Disconnected,No Remark,IANF23,No
336038,2023-05-01 12:23:49,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
364908,2023-05-01 12:24:50,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
335972,2023-05-01 12:26:25,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
360394,2023-05-01 12:28:58,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
335258,2023-05-01 12:30:12,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
365627,2023-05-01 12:31:26,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
370661,2023-05-01 12:31:41,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
363821,2023-05-01 12:33:04,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
346842,2023-05-01 12:33:19,Illinois Institute of Technology,Isha,Disconnected,No Remark,IANF23,No
349113,2023-05-01 12:34:15,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
353583,2023-05-01 12:35:48,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
346000,2023-05-01 12:36:50,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
345747,2023-05-01 12:38:10,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
345837,2023-05-01 12:40:01,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
357779,2023-05-01 12:41:01,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
355461,2023-05-01 12:41:08,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
366450,2023-05-01 12:44:52,Illinois Institute of Technology,Shailja,Completed application,No Remark,IANF23,No
355685,2023-05-01 12:46:37,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
338799,2023-05-01 12:46:51,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
361114,2023-05-01 12:47:57,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
357580,2023-05-01 12:52:41,Illinois Institute of Technology,Shailja,Voicemail,No Remark,IANF23,No
367744,2023-05-01 12:55:06,Illinois Institute of Technology,Shailja,Completed application,No Remark,IANF23,No
350576,2023-05-01 12:59:47,Illinois Institute of Technology,Shailja,Will Submit the docx,already submitted but they are asking the doc to be converted inti dollars and stu says that it has already mentioned in the docx,IANF23,Yes
339716,2023-05-01 13:02:27,Illinois Institute of Technology,Isha,Not interested,personal personal,IANF23,No
365916,2023-05-01 13:06:30,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
353235,2023-05-01 13:18:59,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23,No
347880,2023-05-01 13:35:10,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
350753,2023-05-01 13:36:24,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
367540,2023-05-01 13:39:19,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
346101,2023-05-01 13:41:28,Illinois Institute of Technology,Shailja,Not interested,choose another uni,IANF23,No
356691,2023-05-01 13:45:03,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
369282,2023-05-01 13:46:31,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
365625,2023-05-01 13:46:57,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
351149,2023-05-01 13:48:25,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
341821,2023-05-01 13:51:52,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
346216,2023-05-01 13:53:53,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
358188,2023-05-01 13:56:36,Illinois Institute of Technology,Shailja,Not interested,not interested with this course,IANF23,No
328680,2023-05-01 13:57:57,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
357769,2023-05-01 13:59:21,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
357864,2023-05-01 14:00:35,Illinois Institute of Technology,Shailja,Reschedule,No Remark,IANF23,No
347535,2023-05-01 14:02:22,Illinois Institute of Technology,Isha,Will Submit the docx,within 1-2 weeks,IANF23,No
346388,2023-05-01 14:03:00,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23,No
358198,2023-05-01 14:17:58,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
355946,2023-05-01 14:21:03,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
349504,2023-05-01 14:23:01,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23,No
360743,2023-05-01 14:29:09,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23,No
370110,2023-05-01 14:36:05,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
347676,2023-05-01 14:36:45,Illinois Institute of Technology,Isha,Voicemail,No Remark,IANF23,No
351407,2023-05-01 14:39:58,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
362158,2023-05-01 14:41:38,Illinois Institute of Technology,Isha,Voicemail,No Remark,IANF23,No
360502,2023-05-01 14:42:51,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
359215,2023-05-01 14:44:49,Illinois Institute of Technology,Isha,Reschedule,No Remark,IANF23,No
349097,2023-05-01 14:44:57,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
329546,2023-05-01 14:46:35,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
333708,2023-05-01 14:46:42,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
342414,2023-05-01 14:48:24,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23,No
351860,2023-05-01 14:49:08,Illinois Institute of Technology,Isha,Will Submit the docx,within this week,IANF23,No
351833,2023-05-01 14:51:13,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
365785,2023-05-01 14:58:41,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
348094,2023-05-01 15:00:19,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
363667,2023-05-01 15:00:28,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
328855,2023-05-01 15:02:35,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
352497,2023-05-01 15:02:52,Illinois Institute of Technology,Isha,Disconnected,No Remark,IANF23,No
348824,2023-05-01 15:04:08,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
351107,2023-05-01 15:04:13,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
356452,2023-05-01 15:05:42,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
344745,2023-05-01 15:06:47,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23,No
365647,2023-05-01 15:09:09,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
353035,2023-05-01 15:10:47,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
363362,2023-05-01 15:11:51,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
355208,2023-05-01 15:15:13,Illinois Institute of Technology,Isha,Will Submit the docx,within few days,IANF23,No
357253,2023-05-01 15:18:51,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
356488,2023-05-01 15:19:52,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
367066,2023-05-01 15:21:09,Illinois Institute of Technology,Shailja,Not connected,No Remark,IANF23,No
358152,2023-05-01 15:22:22,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
347013,2023-05-01 15:23:14,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
365770,2023-05-01 15:25:38,Illinois Institute of Technology,Isha,Not connected,No Remark,IANF23,No
349538,2023-05-01 15:26:54,Illinois Institute of Technology,Shailja,Will Submit the docx,No Remark,IANF23,No
